"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8904","Verify YouTube title","chromium","Fri Mar 21 23:31:40 BDT 2025","failed","Fri Mar 21 23:31:49 BDT 2025","","Allure_Reports.spec.js","",""
"","1727","Verify Google title","chromium","Fri Mar 21 23:31:40 BDT 2025","passed","Fri Mar 21 23:31:41 BDT 2025","","Allure_Reports.spec.js","",""
